STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/20/16,18.79,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/21/16,13.87,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/22/16,11.41,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/23/16,20.36,,0.37,6.1
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/24/16,11.18,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/25/16,7.16,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/26/16,14.32,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/27/16,12.08,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/28/16,8.05,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/29/16,7.38,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/30/16,13.65,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/31/16,11.86,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/1/16,13.87,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/2/16,6.93,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/3/16,14.54,,0.33,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/4/16,10.51,,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/5/16,13.42,,0.96,6.8
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/6/16,10.51,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/7/16,9.84,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/8/16,21.25,,0.53,6.4
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/9/16,6.26,,0,0.1
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/10/16,6.71,,0,0.1
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/11/16,16.78,,0.01,0.2
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/12/16,11.63,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/13/16,16.33,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/14/16,17.22,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/15/16,6.26,,0.26,1.3
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/16/16,14.32,,0.66,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/17/16,10.74,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/18/16,12.08,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/19/16,8.95,,0,0.1
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/20/16,13.87,,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/21/16,12.53,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/22/16,8.28,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/23/16,11.41,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/24/16,12.08,,0.59,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/25/16,22.15,,0.81,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/26/16,19.01,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/27/16,12.3,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/28/16,14.54,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/29/16,16.33,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/1/16,12.3,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/2/16,19.24,,0.37,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/3/16,9.62,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/4/16,11.63,,0.01,0.5
