date,avgprcp
2013-06-10,224
2013-06-11,351
2013-06-12,18
2013-06-13,183
2013-06-14,259
2013-06-15,0
2013-06-16,0
2013-06-17,109
2013-06-18,160
2013-06-19,0
2013-06-20,0
2013-06-21,0
2013-06-22,0
2013-06-23,0
2013-06-24,84
2013-06-25,0
2013-06-26,10
2013-06-27,8
2013-06-28,114
2013-06-29,18
2013-06-30,28
2013-07-01,8
2013-07-02,0
2013-07-03,0
2013-07-04,0
2013-07-05,0
2013-07-06,0
2013-07-07,0
2013-07-08,3
2013-07-09,0
2013-07-10,3
2013-07-11,43
2013-07-12,0
2013-07-13,0
2013-07-14,0
2013-07-15,0
2013-07-16,3
2013-07-17,0
2013-07-18,0
2013-07-19,0
2013-07-20,0
2013-07-21,3
2013-07-22,0
2013-07-23,447
2013-07-24,0
2013-07-25,69
2013-07-26,254
2013-07-27,0
2013-07-28,3
2013-07-29,84
2013-07-30,0
2013-07-31,0
2013-08-01,0
2013-08-02,33
2013-08-03,0
2013-08-04,0
2013-08-05,0
2013-08-06,0
2013-08-07,0
2013-08-08,18
2013-08-09,411
2013-08-10,0
2013-08-11,0
2013-08-12,0
2013-08-13,0
2013-08-14,0
2013-08-15,0
2013-08-16,0
2013-08-17,0
2013-08-18,0
2013-08-19,0
2013-08-20,0
2013-08-21,0
2013-08-22,0
2013-08-23,0
2013-08-24,0
2013-08-25,0
2013-08-26,3
2013-08-27,3
2013-08-28,0
2013-08-29,0
2013-08-30,0
2013-08-31,0
2013-09-01,97
2013-09-02,97
2013-09-03,0
2013-09-04,0
2013-09-05,23
2013-09-06,0
2013-09-07,0
2013-09-08,0
2013-09-09,0
2013-09-10,8
2013-09-11,0
2013-09-12,145
2013-09-13,99
2013-09-14,0
2013-09-15,0
2013-09-16,0
2013-09-17,0
2013-09-18,0
2013-09-19,0
2013-09-20,0
2013-09-21,0
2013-09-22,94
2013-09-23,0
2013-09-24,0
2013-09-25,0
2013-09-26,0
2013-09-27,0
2013-09-28,0
2013-09-29,0
2013-09-30,0
2013-10-01,0
2013-10-02,0
2013-10-03,0
2013-10-04,8
2013-10-05,0
2013-10-06,79
2013-10-07,28
2013-10-08,0
2013-10-09,0
2013-10-10,0
2013-10-11,0
2013-10-12,0
2013-10-13,0
2013-10-14,0
2013-10-15,0
2013-10-16,0
2013-10-17,8
2013-10-18,5
2013-10-19,0
2013-10-20,0
2013-10-21,0
2013-10-22,0
2013-10-23,0
2013-10-24,0
2013-10-25,0
2013-10-26,0
2013-10-27,8
2013-10-28,0
2013-10-29,0
2013-10-30,13
2013-10-31,8
2013-11-01,8
2013-11-02,0
2013-11-03,8
2013-11-04,0
2013-11-05,0
2013-11-06,0
2013-11-07,56
2013-11-08,0
2013-11-09,0
2013-11-10,8
2013-11-11,0
2013-11-12,20
2013-11-13,0
2013-11-14,0
2013-11-15,0
2013-11-16,0
2013-11-17,10
2013-11-18,38
2013-11-19,0
2013-11-20,0
2013-11-21,0
2013-11-22,64
2013-11-23,0
2013-11-24,0
2013-11-25,0
2013-11-26,25
2013-11-27,455
2013-11-28,0
2013-11-29,0
2013-11-30,0
2013-12-01,69
2013-12-02,0
2013-12-03,0
2013-12-04,0
2013-12-05,3
2013-12-06,76
2013-12-07,23
2013-12-08,0
2013-12-09,109
2013-12-10,18
2013-12-11,0
2013-12-12,0
2013-12-13,0
2013-12-14,56
2013-12-15,163
2013-12-16,0
2013-12-17,135
2013-12-18,0
2013-12-19,0
2013-12-20,0
2013-12-21,0
2013-12-22,3
2013-12-23,173
2013-12-24,0
2013-12-25,0
2013-12-26,13
2013-12-27,0
2013-12-28,0
2013-12-29,335
2013-12-30,0
2013-12-31,0
2014-02-28,0
2014-03-01,0
2014-03-02,0
2014-03-03,0
2014-03-04,0
2014-03-05,0
2014-03-06,0
2014-03-07,0
